Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,âˆšx (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns),
0,56.232980949031536,96.31715925168271,5.257028447416521,-0.3375854,0.0087,0.010199999999999987,0.0072,732.4444444444445,0.000162232,0.000162232,0.000162232,0_1:1,0_1:291.55555555555554,
1,156.60197359737688,137.15571631917618,5.035771613936004,-0.342266056,0.009,0.012399999999999967,0.0056,732.4444444444445,0.000307458,0.000307458,0.000307458,1_2:0.010818449353998921; 1_4:0.01604832804827075; 1_0:1,1_2:327.1111111111111; 1_4:426.66666666666663; 1_0:316.4444444444444,
2,63.21353560937123,51.97837016689125,4.911049486113911,-0.345416259,0.016100000000000003,0.020000000000000018,0.0122,732.4444444444445,0.000210959,0.000210959,0.000210959,2_3:0.009847844244984777; 2_1:0.010818449353998921,2_3:231.1111111111111; 2_1:352,
3,89.65472883,134.51701954817915,5.118551878540684,-0.340381692,0.017199999999999993,0.017199999999999993,0.0172,732.4444444444445,0.000195483,0.000195483,0.000195483,3_2:0.009847844244984777; 3_5:0.0054938307135976305,3_2:206.2222222222222; 3_5:277.3333333333333,
4,46.14494901010292,20.51484505591038,5.185655814832658,-0.33927669,0.0207,0.020000000000000018,0.0214,732.4444444444445,0.000235636,0.000235636,0.000235636,4_7:0.00740465822917713; 4_1:0.01604832804827075,4_7:270.22222222222223; 4_1:451.55555555555554,
5,105.7372864272164,50.836471476100996,5.046091989506303,-0.30469778,0.015900000000000025,0.018199999999999994,0.0136,732.4444444444445,0.000241892,0.000241892,0.000241892,5_8:0.006521761082540267; 5_3:0.0054938307135976305,5_8:167.11111111111111; 5_3:327.1111111111111,
6,123.71343367452023,163.8004979635942,5.0988858755257676,-0.340634873,0.012499999999999956,0.016000000000000014,0.009,732.4444444444445,0.000429217,0.000429217,0.000429217,6_7:0.007916393805574518,6_7:312.88888888888886,
7,144.20678521538738,111.40806392565665,5.048024976086412,-0.341642294,0.013600000000000056,0.016800000000000037,0.0104,732.4444444444445,0.000881966,0.000881966,0.000881966,7_6:0.007916393805574518; 7_4:0.00740465822917713; 7_10:1,7_6:337.77777777777777; 7_4:295.1111111111111; 7_10:480,
8,83.87008978406398,43.32654845556854,4.969042378351226,-0.344159013,0.0232,0.020399999999999974,0.026,732.4444444444445,0.000162465,0.000162465,0.000162465,8_11:0.016021465413876695; 8_9:0.007325377314912868; 8_5:0.006521761082540267,8_11:945.7777777777777; 8_9:359.1111111111111; 8_5:216.88888888888889,
9,77.22739867,30.466329653770565,5.227468721768282,-0.339056774,0.0412,0.027599999999999958,0.0548,732.4444444444445,0.000216037,0.000216037,0.000216037,9_8:0.007325377314912868,9_8:334.22222222222223,
10,95.74752303974485,13.918548121720761,5.233511645425801,-0.33921048,0.009,0.010000000000000009,0.008,732.4444444444445,0.000186056,0.000186056,0.000186056,10_12:0.008696559674014781; 10_7:1,10_12:284.44444444444446; 10_7:455.1111111111111,
11,107.52009714995664,152.05958456426268,5.132690150973655,-0.340345005,0.010699999999999932,0.016199999999999992,0.0052,732.4444444444445,0.000393039,0.000393039,0.000393039,11_8:0.016021465413876695; 11_14:0.011859237631888064,11_8:970.6666666666666; 11_14:405.3333333333333,
12,99.99199121981894,102.35143983433139,5.114926253259653,-0.34127467,0.010000000000000009,0.0102,0.0098,732.4444444444445,0.00018984,0.00018984,0.00018984,12_15:0.008624531769300309; 12_13:0.011327754073143015; 12_10:0.008696559674014781,12_15:522.6666666666666; 12_13:433.77777777777777; 12_10:334.22222222222223,
13,75.72220683426714,155.05934950691542,5.282066543465278,-0.368572437,0.0043,0.005,0.0036,732.4444444444445,0.000150299,0.000150299,0.000150299,13_12:0.011327754073143015; 13_14:0.004789841697185548,13_12:458.66666666666663; 13_14:220.44444444444443,
14,77.00463305223847,132.19093327843362,5.043653465765976,-0.342221921,0.0081,0.0104,0.0058,732.4444444444445,0.000200664,0.000200664,0.000200664,14_11:0.011859237631888064; 14_16:0.0052263441304222225; 14_13:0.004789841697185548,14_11:430.2222222222222; 14_16:252.44444444444443; 14_13:270.22222222222223,
15,130.63139747134068,334.4920120935088,4.962610824,-0.345265395,0.006,0.0078,0.0042,732.4444444444445,0.000111561,0.000111561,0.000111561,15_12:0.008624531769300309; 15_18:0.011896531568105745,15_12:497.77777777777777; 15_18:256,
16,98.94936087441737,207.13153971515803,5.2769018318921095,-0.338815868,0.0605,0.019199999999999995,0.1018,732.4444444444445,0.000197433,0.000197433,0.000197433,16_19:0.014420556759894343; 16_14:0.0052263441304222225,16_19:224; 16_14:202.66666666666666,
17,165.03886377265923,141.55283665281132,5.262122746629746,-0.336957821,0.014000000000000012,0.016,0.012,732.4444444444445,0.000399758,0.000399758,0.000399758,17_18:0.009554472249983958,17_18:256,
18,100.33985482226787,40.51257107128567,5.185968986,-0.339953197,0.011700000000000044,0.012399999999999967,0.011,732.4444444444445,0.000263522,0.000263522,0.000263522,18_17:0.009554472249983958; 18_21:0.010208128429599117; 18_15:0.011896531568105745,18_17:280.88888888888886; 18_21:387.55555555555554; 18_15:206.2222222222222,
19,105.66490892392135,78.54794890653012,4.9782090200308415,-0.344459161,0.13590000000000002,0.1698,0.10199999999999998,732.4444444444445,0.00492458,0.00492458,0.00492458,19_20:0.024364332206440797; 19_22:0.012248121389391742; 19_16:0.014420556759894343,19_20:437.3333333333333; 19_22:746.6666666666666; 19_16:273.77777777777777,
20,100.97201580698058,18.604559996526888,5.197114119381423,-0.339760816,0.0098,0.012,0.0076,732.4444444444445,0.001484515,0.001484515,0.001484515,20_19:0.024364332206440797,20_19:412.4444444444444,
21,84.57996738518817,111.22743391798416,5.284419852686964,-0.338398702,0.0076,0.0098,0.0054,732.4444444444445,0.000338719,0.000338719,0.000338719,21_18:0.010208128429599117; 21_23:0.01079864986466983,21_18:362.66666666666663; 21_23:316.4444444444444,
22,96.77437796485101,86.81491503386506,5.200229709672321,-0.340487104,0.030100000000000016,0.0352,0.025,732.4444444444445,0.000292125,0.000292125,0.000292125,22_19:0.012248121389391742; 22_25:0.005761203509171586,22_19:696.8888888888888; 22_25:248.88888888888889,
23,27.676834817033154,32.51463392024622,5.102369511828087,-0.341344116,0.011700000000000044,0.0154,0.008,732.4444444444445,0.000267008,0.000267008,0.000267008,23_24:0.0096761549660688; 23_21:0.01079864986466983,23_24:359.1111111111111; 23_21:366.22222222222223,
24,144.83808248500918,149.5199348052864,5.176717224,-0.340167413,0.013400000000000079,0.019000000000000017,0.0078,732.4444444444445,0.00018263,0.00018263,0.00018263,24_23:0.0096761549660688; 24_25:0.009235942693992527,24_23:334.22222222222223; 24_25:266.66666666666663,
25,55.68292865986662,107.81605572310744,4.953741752842849,-0.344632545,0.022499999999999964,0.028,0.017000000000000015,732.4444444444445,0.000173107,0.000173107,0.000173107,25_24:0.009235942693992527; 25_26:0.0062235177993719415; 25_22:0.005761203509171586,25_24:316.4444444444444; 25_26:256; 25_22:298.66666666666663,
26,124.97837620118307,28.991995551901038,5.192016289452893,-0.338356496,0.017299999999999982,0.016,0.0186,732.4444444444445,0.000175716,0.000175716,0.000175716,26_25:0.0062235177993719415,26_25:206.2222222222222,
